"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",광주광역시,동구,서석동,28,22,15,22,17,20
"도시대기",광주광역시,서구,농성동,33,28,17,18,14,19
"도시대기",광주광역시,서구,유촌동,28,24,13,22,20,27
"도시대기",광주광역시,북구,두암동,29,22,14,21,18,21
"도시대기",광주광역시,북구,건국동,26,22,13,17,14,18
"도시대기",광주광역시,북구,일곡동,23,19,13,17,12,17
"도시대기",광주광역시,광산구,오선동,28,24,13,18,18,26
"도시대기",광주광역시,광산구,평동,31,27,15,20,16,25
"도시대기",광주광역시,광산구,우산동,31,22,13,19,16,23
"도시대기",광주광역시,남구,주월동,30,26,15,22,18,23
"도시대기",광주광역시,남구,노대동,26,20,13,17,14,19
"도시대기",대전광역시,대덕구,읍내동,30,27,14,18,16,25
"도시대기",대전광역시,대덕구,문평동,32,29,16,19,16,24
"도시대기",대전광역시,중구,문창동,26,23,14,18,14,-
"도시대기",대전광역시,유성구,상대동,26,26,15,20,15,20
"도시대기",대전광역시,유성구,구성동,28,28,16,18,14,19
"도시대기",대전광역시,유성구,노은동,29,28,16,21,15,20
"도시대기",대전광역시,유성구,관평동,27,25,12,17,13,22
"도시대기",대전광역시,동구,성남동,31,30,14,20,15,22
"도시대기",대전광역시,동구,대성동,23,21,13,15,10,15
"도시대기",대전광역시,서구,정림동,28,26,16,21,13,18
"도시대기",대전광역시,서구,둔산동,31,30,16,23,18,22
"도시대기",울산광역시,중구,성남동,31,34,22,23,20,22
"도시대기",울산광역시,중구,약사동,27,30,19,20,17,18
"도시대기",울산광역시,남구,부곡동,36,37,24,26,21,20
"도시대기",울산광역시,남구,여천동,40,45,28,28,24,27
"도시대기",울산광역시,남구,야음동,31,31,17,22,20,20
"도시대기",울산광역시,남구,신정동,25,30,18,20,18,18
"도시대기",울산광역시,남구,무거동,31,34,20,22,21,21
"도시대기",울산광역시,남구,삼산동,30,34,22,23,20,21
"도시대기",울산광역시,울주군,덕신리,29,32,20,22,19,20
"도시대기",울산광역시,울주군,웅촌면,31,35,23,26,21,21
"도시대기",울산광역시,울주군,삼남읍,32,33,21,23,22,21
"도시대기",울산광역시,울주군,화산리,40,40,26,25,25,25
"도시대기",울산광역시,울주군,상남리,29,31,19,22,19,19
"도시대기",울산광역시,울주군,범서읍,28,31,20,22,19,18
"도시대기",울산광역시,북구,송정동,29,36,28,26,17,18
"도시대기",울산광역시,북구,효문동,37,39,29,26,21,22
"도시대기",울산광역시,북구,농소동,27*,-,-,23**,18,21
"도시대기",울산광역시,동구,대송동,30,31,21,22,17,19
"도시대기",울산광역시,동구,전하동,31,31,19,21,16,19
"도시대기",세종특별자치시,세종특별자치시,신흥동,29,29,19,25,17,23
"도시대기",세종특별자치시,세종특별자치시,아름동,29,29,20,25,17,21
"도시대기",세종특별자치시,세종특별자치시,한솔동,25,23,14,19,14,18
"도시대기",세종특별자치시,세종특별자치시,부강면,31,31,18,23,19,26
"도시대기",세종특별자치시,세종특별자치시,전의면,30,27,16,22,17,25
"도시대기",경기도,수원,인계동,29,28,18,22,15,22
"도시대기",경기도,수원,신풍동,31,32,21,26,17,23
"도시대기",경기도,수원,광교동,35,35,22,26,19,26
"도시대기",경기도,수원,영통동,34,31**,-,-,16,23
"도시대기",경기도,수원,천천동,31,32,22,26,18,24
"도시대기",경기도,수원,고색동,38,38,29,33,19,26
"도시대기",경기도,수원,호매실동,31,33**,-,22,16,22
"도시대기",경기도,안양,안양8동,30,30,23,27,20,25
"도시대기",경기도,안양,부림동,37,37,26,30,23,29
"도시대기",경기도,안양,호계동,31,29,18,20,13,21
"도시대기",경기도,안양,안양2동,32,33,25,28,19,24
"도시대기",경기도,성남,단대동,32,32,21,25,17,21
"도시대기",경기도,성남,정자동,26,27,18,20,14,17
"도시대기",경기도,성남,수내동,29,30,22,25,16,20
"도시대기",경기도,성남,복정동,29,32,24,29,21,24
"도시대기",경기도,성남,상대원동,26,28,17,21,14,18
"도시대기",경기도,성남,운중동,30,31,21,24,18,23
"도시대기",경기도,의정부,의정부동,31,32,21,23,18,22
"도시대기",경기도,의정부,의정부1동,32,31,18,24,20,27
"도시대기",경기도,의정부,송산3동,25,28,23,33,21,20
"도시대기",경기도,광명,철산동,31,32,20,25,18,28
"도시대기",경기도,광명,소하동,33,33,21,26,19,27
"도시대기",경기도,안산,고잔동,28,26,20,25,14,21
"도시대기",경기도,안산,원시동,40,37,30,32**,-,-
"도시대기",경기도,안산,본오동,30,29,24,25,16,23
"도시대기",경기도,안산,원곡동,38,38,24,28,20,29
"도시대기",경기도,안산,부곡동,29,30,20,24**,-,-
"도시대기",경기도,안산,대부동,28,26,19,26*,-,-
"도시대기",경기도,안산,호수동,27,22,18,24,15,22
"도시대기",경기도,평택,비전동,39,38,21,32,20,29
"도시대기",경기도,평택,안중,35,36,24,31,26,34
"도시대기",경기도,평택,평택항,34,35,22,29*,-,-
"도시대기",경기도,평택,송북동,38,37,21,27*,20,28
"도시대기",경기도,평택,청북읍,31,32,20,25,18,25
"도시대기",경기도,평택,고덕동,33,32,18,24,17,25
"도시대기",경기도,과천,별양동,29,28,18,23,16,21
"도시대기",경기도,과천,과천동,32,35,21,25,17,22
"도시대기",경기도,구리,교문동,26,29,19,23,19**,20**
"도시대기",경기도,구리,동구동,22,22,12*,14,9,8**
"도시대기",경기도,의왕,부곡3동,30,31,23,30,18,23
"도시대기",경기도,의왕,고천동,28,27,19,22,16,21
"도시대기",경기도,고양,행신동,31,34,24,26,19,24
"도시대기",경기도,고양,식사동,35,37,23,29,25,36
"도시대기",경기도,고양,신원동,38,37,25,30,23,24
"도시대기",경기도,고양,주엽동,32,33,21,23,19,31
"도시대기",경기도,광주,경안동,33,34,22,25,19,22
"도시대기",경기도,광주,오포1동,29,30,20,23,17,20
"도시대기",경기도,광주,곤지암,31,34,21,24,17,22
"도시대기",경기도,군포,당동,35,36,24,28,21,30
"도시대기",경기도,군포,산본동,31,30,17,21,15,23
"도시대기",경기도,시흥,정왕동,36,36,24,29,22,32
"도시대기",경기도,시흥,시화산단,38,37,27,29,23,34
"도시대기",경기도,시흥,대야동,32,32,23,28,19,27
"도시대기",경기도,시흥,목감동,36,37,24,30,24,32
"도시대기",경기도,시흥,장현동,35,35,23,26,18,28
"도시대기",경기도,시흥,배곧동,36,36,21,25,20,33
"도시대기",경기도,부천,소사본동,33,33,19,24,16,29
"도시대기",경기도,부천,내동,32,30,15,20,13,33
"도시대기",경기도,부천,중2동,32,32,19,22,15,28
"도시대기",경기도,부천,오정1동,34,32,18,23,16,30
