"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",광주광역시,동구,서석동,13,11,5,12,9,12
"도시대기",광주광역시,서구,농성동,15,13,7,12,10,13
"도시대기",광주광역시,서구,유촌동,12,11,6,13,10,13
"도시대기",광주광역시,북구,두암동,13,12,6,12,10,12
"도시대기",광주광역시,북구,건국동,12,11,6,11,10,12
"도시대기",광주광역시,북구,일곡동,12,11,5,10,9,13
"도시대기",광주광역시,광산구,오선동,13,12,6,12,10,14
"도시대기",광주광역시,광산구,평동,15,15,7,14,11,16
"도시대기",광주광역시,광산구,우산동,11,10,5,12,9,16
"도시대기",광주광역시,남구,주월동,15,14,8,13,10,14
"도시대기",광주광역시,남구,노대동,14,13,6,12,10,12
"도시대기",대전광역시,대덕구,읍내동,14,16,10,13,9,12
"도시대기",대전광역시,대덕구,문평동,18,19,8,11,9,11
"도시대기",대전광역시,중구,문창동,12,13,8,11,6,-
"도시대기",대전광역시,유성구,상대동,13,15,9,13,8,12
"도시대기",대전광역시,유성구,구성동,14,16,9,12,10,10
"도시대기",대전광역시,유성구,노은동,16,16,9,14,9,14
"도시대기",대전광역시,유성구,관평동,15,15,7,10,7,12
"도시대기",대전광역시,동구,성남동,14,16,8,11,8,11
"도시대기",대전광역시,동구,대성동,14,14,7,11,8,12
"도시대기",대전광역시,서구,정림동,12,13,6,12,7,10
"도시대기",대전광역시,서구,둔산동,12,13,6,11,6,9
"도시대기",울산광역시,중구,성남동,18,23,15,16,13,12
"도시대기",울산광역시,중구,약사동,13,18,9,10,9,10
"도시대기",울산광역시,남구,부곡동,15,20,11,13,9,9
"도시대기",울산광역시,남구,여천동,16,21,13,13,9,10
"도시대기",울산광역시,남구,야음동,13,19,9,11,9,8
"도시대기",울산광역시,남구,신정동,15,20,10,11,11,9
"도시대기",울산광역시,남구,무거동,13,18,10,12,8,9
"도시대기",울산광역시,남구,삼산동,15,21,13,14,11,12
"도시대기",울산광역시,울주군,덕신리,18,23,16,16,13,12
"도시대기",울산광역시,울주군,웅촌면,15,20,11,13,10,9
"도시대기",울산광역시,울주군,범서읍,14,17,8,10,10,10
"도시대기",울산광역시,울주군,화산리,18,22,16,15,11,10
"도시대기",울산광역시,울주군,상남리,15,20,11,12,10,9
"도시대기",울산광역시,울주군,삼남읍,15,18,12,15,12,11
"도시대기",울산광역시,북구,송정동,16,21,14,15,11,10
"도시대기",울산광역시,북구,효문동,14,23,17,15,10,11
"도시대기",울산광역시,북구,농소동,15*,19,14,13,10,9
"도시대기",울산광역시,동구,대송동,13,17,10,10,7,9
"도시대기",울산광역시,동구,전하동,12,16,9,9,7,9
"도시대기",세종특별자치시,세종특별자치시,신흥동,15,16,8,13,9,15*
"도시대기",세종특별자치시,세종특별자치시,아름동,13,14,7,11,8,9
"도시대기",세종특별자치시,세종특별자치시,한솔동,14,14,7,13,8,11
"도시대기",세종특별자치시,세종특별자치시,부강면,14,14,7,11,8,11
"도시대기",세종특별자치시,세종특별자치시,전의면,15,15,7,13,9,13
"도시대기",경기도,수원,인계동,14,16,11,15,10,13
"도시대기",경기도,수원,신풍동,15,17,11,15,10,14
"도시대기",경기도,수원,광교동,24,25,17,15,10,17
"도시대기",경기도,수원,영통동,16,18**,-,16*,11,15
"도시대기",경기도,수원,천천동,14,16,10,14,8,12
"도시대기",경기도,수원,고색동,13,15,10,14,9,13
"도시대기",경기도,수원,호매실동,15,19**,-,16,11,15
"도시대기",경기도,안양,안양8동,18,18,12,16,12,17
"도시대기",경기도,안양,부림동,20,20,15,20,15,18
"도시대기",경기도,안양,호계동,17,12,6,11,9,14
"도시대기",경기도,안양,안양2동,-,-,-,-,8,14
"도시대기",경기도,성남,단대동,12,15,10,13,8,11
"도시대기",경기도,성남,정자동,13,16,10,13,8,10
"도시대기",경기도,성남,수내동,14,15,10,14,8,11
"도시대기",경기도,성남,복정동,13,15,10,13,9,11
"도시대기",경기도,성남,상대원동,11,14,8,12,7,9
"도시대기",경기도,성남,운중동,12,14,9,12,8,10
"도시대기",경기도,의정부,의정부동,12,14,9,11,7,11
"도시대기",경기도,의정부,의정부1동,14,14,9,12,8,14
"도시대기",경기도,의정부,송산3동,13,16,13,18,10,11
"도시대기",경기도,광명,철산동,14,15,10,13,9,14
"도시대기",경기도,광명,소하동,15,17,12,16,10,14
"도시대기",경기도,안산,고잔동,12,13,8,12,7,10
"도시대기",경기도,안산,원시동,18,17,13,18**,-,-
"도시대기",경기도,안산,본오동,11,12,8,13,9,12
"도시대기",경기도,안산,원곡동,18,19,12,16,10,15
"도시대기",경기도,안산,부곡동,10,13,9,15**,-,-
"도시대기",경기도,안산,대부동,12,14,10,16*,-,-
"도시대기",경기도,안산,호수동,12,14,11,16,9,13
"도시대기",경기도,평택,비전동,19,20,12,18,11,16*
"도시대기",경기도,평택,안중,19,21,12,18,13,19
"도시대기",경기도,평택,평택항,18,20,12,16*,7,19*
"도시대기",경기도,평택,송북동,14,15,7,13*,7,12
"도시대기",경기도,평택,청북읍,18,21,15,19,12,16
"도시대기",경기도,평택,고덕동,17,19,10,16,10,14
"도시대기",경기도,과천,별양동,14,16,10,14,9,12
"도시대기",경기도,과천,과천동,11,13,7,10,6,9
"도시대기",경기도,구리,교문동,13,15,9,12,5,9
"도시대기",경기도,구리,동구동,14,16,10,13,7,6**
"도시대기",경기도,의왕,부곡3동,15,17,10,15,10,14
"도시대기",경기도,의왕,고천동,12,12,7,11,6,9
"도시대기",경기도,고양,행신동,14,18,14,15,10,14
"도시대기",경기도,고양,식사동,16,18,11,14,10,18
"도시대기",경기도,고양,신원동,16,18,12,15,10,13
"도시대기",경기도,고양,주엽동,23,22,14,18,12,15
"도시대기",경기도,광주,경안동,14,16,9,13,8,11
"도시대기",경기도,광주,오포1동,15,17,11,14,9,11
"도시대기",경기도,광주,곤지암,15,18,11,14,10,12
"도시대기",경기도,군포,당동,20,23,15,19,14,20
"도시대기",경기도,군포,산본동,14,15,7,11,7,13
"도시대기",경기도,시흥,정왕동,19,20,14,16,11,18
"도시대기",경기도,시흥,시화산단,16,19,11,13,10,18
"도시대기",경기도,시흥,대야동,19,17,12,16,9,15
"도시대기",경기도,시흥,목감동,17,18,9,12,7,15
"도시대기",경기도,시흥,장현동,17,21,13,16,11,16
"도시대기",경기도,시흥,배곧동,21,24,17,19,14,22
"도시대기",경기도,부천,소사본동,14,16,10,14,8,14
"도시대기",경기도,부천,내동,14,14,8,11,6,19
"도시대기",경기도,부천,중2동,20,20,12,12,7,15
"도시대기",경기도,부천,오정1동,15,14,8,13,7,13
"도시대기",경기도,남양주,금곡동,13,15,9,12,7,9
"도시대기",경기도,남양주,오남읍,14,16,10,13,8,11
"도시대기",경기도,남양주,별내동,14,14,8,10,6,11
"도시대기",경기도,남양주,화도읍,15,17,11,12*,8,11
"도시대기",경기도,남양주,와부읍,15,20,16,21,11,11
"도시대기",경기도,남양주,진접읍,13,16,13,17,9,10
"도시대기",경기도,용인,김량장동,17,19,11,16,10,14
"도시대기",경기도,용인,수지,15,18,11,14,10,13
"도시대기",경기도,용인,기흥,14,17,11,14,9,12
"도시대기",경기도,용인,모현읍,13,15,9,13,7,10
"도시대기",경기도,용인,이동읍,15,16,10,14,9,11
"도시대기",경기도,용인,백암면,14,16,9,12,9,12
"도시대기",경기도,김포,사우동,18,19,15,17,13,19
